BioProject,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJNA910807,Staphylococcus capitis,29388,S,11008,42,11050,0.00955
PRJNA695410,Phocaeicola vulgatus,821,S,13036,6303,19339,0.00952
PRJNA847046,Salmonella enterica,28901,S,329,12828,13157,0.00945
PRJNA564695,Corynebacterium sanguinis,2594913,S,8796,3523,12319,0.00944
PRJNA807746,Streptococcus thermophilus,1308,S,915,23815,24730,0.00941
PRJNA629667,Corynebacterium yudongzhengii,2080740,S,82996,3570,86566,0.00941
PRJNA802336,Bifidobacterium dentium,1689,S,11329044,211001,11540045,0.00925
PRJNA910807,Streptococcus thermophilus,1308,S,242,2195,2437,0.00925
PRJNA1048377,Staphylococcus epidermidis,1282,S,28537,706,29243,0.00923
PRJDB10133,Acinetobacter baumannii,470,S,10950,9888,20838,0.00923
PRJNA807746,Moraxella osloensis,34062,S,37936,30,37966,0.00919
PRJNA328002,Brucella melitensis,29459,S,28,2429,2457,0.00918
PRJNA1044261,Pseudomonas sp. BYT-5,2944392,S,346,23596,23942,0.00914
PRJNA398289,Jouyvirus ev017,2844245,S,161212,169682,330894,0.00909
PRJNA910807,Anaerococcus sp. Marseille-Q7828,3036300,S,16599,1541,18140,0.00908
PRJNA802336,Blautia wexlerae,418240,S,9179507,965207,10144714,0.00907
PRJDB10133,Sphingobacterium multivorum,28454,S,27271,17462,44733,0.00905
PRJNA721101,Parasphingopyxis algicola,2026624,S,3848,12373,16221,0.00904
PRJDB15234,Pseudomonas aeruginosa,287,S,248,11050,11298,0.00901
PRJNA912212,Bacillus velezensis,492670,S,26669,4409,31078,0.00901
PRJDB10068,Corynebacterium glutamicum,1718,S,37,6951,6988,0.009
PRJNA818470,Klebsiella pneumoniae,573,S,203552,35359,238911,0.00899
PRJNA912212,Lawsonella clevelandensis,1528099,S,16411,78,16489,0.00898
PRJNA721101,Corynebacterium yudongzhengii,2080740,S,8443,2893,11336,0.00893
PRJNA912212,Corynebacterium pseudogenitalium,38303,S,957,17615,18572,0.00892
PRJNA1048377,Cutibacterium acnes,1747,S,5230,31,5261,0.00887
PRJEB55147,Corynebacterium tuberculostearicum,38304,S,37225,1426,38651,0.00883
PRJNA749068,Bacillus subtilis,1423,S,4163,80793,84956,0.00876
PRJEB55147,Corynebacterium kefirresidentii,1979527,S,697307,172828,870135,0.00872
PRJNA802336,Streptococcus mitis,28037,S,218647,56583,275230,0.00872
PRJNA1048377,Staphylococcus pseudintermedius,283734,S,31086,539,31625,0.00871
PRJNA912212,Streptococcus thermophilus,1308,S,823,10896,11719,0.00869
PRJNA744578,Corynebacterium glutamicum,1718,S,303,105918,106221,0.00864
PRJNA429692,Jouyvirus ev017,2844245,S,161211,169683,330894,0.00861
PRJNA807746,Allobaculum mucilyticum,2834459,S,34289,54,34343,0.00856
PRJDB10133,Achromobacter insolitus,217204,S,688,22549,23237,0.00856
PRJNA629667,Deinococcus ficus,317577,S,70562,6301,76863,0.00853
PRJNA610482,Staphylococcus lugdunensis,28035,S,8073386,535910,8609296,0.0085
PRJNA912096,Streptococcus thermophilus,1308,S,908,16833,17741,0.00848
PRJNA721101,Granulicatella adiacens,46124,S,13095,21,13116,0.00846
PRJNA629667,Sphingomonas cannabina,2899123,S,1484,69753,71237,0.00843
PRJNA720296,Comamonas terrigena,32013,S,32502,14320,46822,0.00843
PRJDB10068,Massilia oculi,945844,S,4612,2063,6675,0.00843
PRJDB15234,Bacteroides ovatus,28116,S,4063,651,4714,0.00842
PRJNA807746,Lactobacillus iners,147802,S,20419,9814,30233,0.0084
PRJNA721101,Rhizobium ruizarguesonis,2081791,S,99,19070,19169,0.0084
PRJNA720296,Comamonas thiooxydans,363952,S,1123,44633,45756,0.00839
PRJNA819236,Brevundimonas naejangsanensis,588932,S,185,30153,30338,0.00834
PRJNA879945,Comamonas flocculans,2597701,S,8084,357,8441,0.00834
PRJDB10133,Elizabethkingia bruuniana,1756149,S,34366,1478,35844,0.00833
PRJNA749068,Staphylococcus aureus,1280,S,13619,53080,66699,0.00827
PRJNA720296,Simonsiella muelleri,72,S,42313,1920,44233,0.00827
PRJNA807746,Faecalibacterium prausnitzii,853,S,18910,19806,38716,0.00825
PRJNA646315,Enterobacter kobei,208224,S,6780,28587,35367,0.00813
PRJNA1048173,Corynebacterium glutamicum,1718,S,2331,325495,327826,0.00811
PRJDB10068,Methylobacterium organophilum,410,S,145,6233,6378,0.0081
PRJNA695410,Gemmatirosa kalamazoonensis,861299,S,236,27,263,0.00807
PRJNA744578,Halomonas sp. 1513,1883416,S,76825,8437,85262,0.00804
PRJNA486134,Pseudomonas aeruginosa,287,S,199,52246,52445,0.00804
PRJNA879945,Brevibacterium sp. CS2,2575923,S,15309,150,15459,0.00802
PRJNA744578,Rhodococcus erythropolis,1833,S,2936,81490,84426,0.00801
PRJNA749068,Variovorax paradoxus,34073,S,60375,1827,62202,0.008
PRJNA328002,Mesorhizobium sp. AR07,2865838,S,1653,478,2131,0.00796
PRJNA1048377,Corynebacterium kutscheri,35755,S,368,1239,1607,0.00792
PRJNA912096,Moraxella bovoculi,386891,S,20,16200,16220,0.00791
PRJNA1010661,Clostridium botulinum,1491,S,1024,20,1044,0.00789
PRJNA894103,Streptomyces sp. CB00271,2750025,S,1439,15807,17246,0.00785
PRJNA912096,Phocaeicola vulgatus,821,S,33,15,48,0.00781
PRJNA879945,Segatella copri,165179,S,1564,6,1570,0.0078
PRJNA912212,Salmonella enterica,28901,S,414,26722,27136,0.00779
PRJNA564695,Pseudomonas sp. S150,2559074,S,73,7438,7511,0.0077
PRJNA695410,Corynebacterium glutamicum,1718,S,194,21833,22027,0.0077
PRJDB10133,Methylobacterium aquaticum,270351,S,21,16290,16311,0.0077
PRJNA912212,Pseudooceanicola algae,1537215,S,13438,17315,30753,0.00767
PRJNA629667,Stenotrophomonas maltophilia,40324,S,1152,63088,64240,0.00767
PRJNA1044261,Delftia tsuruhatensis,180282,S,279,41883,42162,0.00767
PRJNA912212,Corynebacterium kroppenstedtii,161879,S,5044,475,5519,0.00765
PRJNA912096,Ruminococcus lactaris,46228,S,53,10,63,0.00763
PRJDB10133,Chryseobacterium gambrini,373672,S,10384,542,10926,0.00762
PRJNA692666,Moraxella bovoculi,386891,S,190,15110,15300,0.0076
PRJNA749068,Salmonella enterica,28901,S,43696,43033,86729,0.00756
PRJNA802336,Allomeiothermus silvanus,52022,S,24112,293,24405,0.00753
PRJDB10133,Brevundimonas naejangsanensis,588932,S,897,38468,39365,0.00752
PRJNA721101,Lawsonella clevelandensis,1528099,S,6818,1079,7897,0.00741
PRJNA912096,Ligilactobacillus faecis,762833,S,321,57,378,0.00737
PRJNA912096,Pseudomonas guguanensis,1198456,S,104,31,135,0.00732
PRJDB15234,Methylobacterium radiotolerans,31998,S,693,2674,3367,0.00729
PRJNA610482,Staphylococcus capitis,29388,S,51771,2994,54765,0.00727
PRJNA721101,Sphingomonas cannabina,2899123,S,72,11310,11382,0.00726
PRJNA894103,Staphylococcus aureus,1280,S,8554,42882,51436,0.00721
PRJDB10068,Methylobacterium aquaticum,270351,S,69,5605,5674,0.00719
PRJNA879945,Gardnerella swidsinskii,2792979,S,304,13,317,0.00716
PRJDB15234,Phreatobacter stygius,1940610,S,1085,1928,3013,0.00715
PRJNA564695,Streptococcus agalactiae,1311,S,1298,9506,10804,0.00711
PRJNA912096,Clostridium baratii,1561,S,2178,73,2251,0.0069
PRJNA486134,Pseudomonas sp. SD17-1,2976883,S,2477,8625,11102,0.00689
PRJNA912096,Virgibacillus natechei,1216297,S,36,5,41,0.00689
PRJNA749068,Sphingobacterium multivorum,28454,S,68627,11726,80353,0.00689
PRJNA749068,Bradyrhizobium diazoefficiens,1355477,S,194,89372,89566,0.00685
PRJNA802336,Ligilactobacillus salivarius,1624,S,32,0,32,0.00684
PRJNA744578,Arthrospira platensis,118562,S,584,82015,82599,0.00681
PRJNA894103,Maliibacterium massiliense,2086585,S,24495,960,25455,0.00681
PRJNA629667,Acinetobacter sp. NyZ410,2929509,S,57506,6284,63790,0.0068
PRJNA807746,Haemophilus influenzae,727,S,278,40858,41136,0.0068
PRJNA381365,Anncaliia algerae,723287,S,145414,2,145416,0.00675
PRJDB15234,Dolosigranulum pigrum,29394,S,10056,14,10070,0.00674
PRJDB10133,Serratia inhibens,2338073,S,18839,1239,20078,0.00673
PRJNA486134,Streptococcus sp. LPB0220,2610896,S,5422,1838,7260,0.00666
PRJNA610482,Alphatorquevirus homin18,3048419,S,40391,1588,41979,0.00664
PRJNA894103,Streptococcus agalactiae,1311,S,286,24789,25075,0.00658
PRJNA610482,Alphatorquevirus homin24,3048424,S,76169,26042,102211,0.00657
PRJNA749068,Sphingomonas sp. ZFBP2030,2972485,S,78097,7264,85361,0.00648
PRJEB21503,Acinetobacter baumannii,470,S,177,1188,1365,0.00648
PRJNA912212,Bacillus anthracis,1392,S,11159,10976,22135,0.00647
PRJDB10068,Pseudomonas aeruginosa,287,S,1517,3545,5062,0.00646
PRJNA910807,Lawsonella clevelandensis,1528099,S,5757,43,5800,0.00646
PRJNA692666,Thermus scotoductus,37636,S,8769,3228,11997,0.00643
PRJDB10068,Cutibacterium acnes,1747,S,4859,83,4942,0.00639
PRJNA1010661,Staphylococcus aureus,1280,S,40,765,805,0.00639
PRJNA629667,Enterococcus faecium,1352,S,4080,52953,57033,0.00638
PRJNA744578,Ralstonia insidiosa,190721,S,73359,3731,77090,0.00638
PRJNA486134,Bradyrhizobium diazoefficiens,1355477,S,23,154,177,0.00637
PRJNA894103,Collinsella aerofaciens,74426,S,21365,64,21429,0.00635
PRJNA692666,Corynebacterium massiliense,441501,S,47,4894,4941,0.00633
PRJNA564695,Streptococcus thermophilus,1308,S,3622,3645,7267,0.00629
PRJNA912096,Collinsella aerofaciens,74426,S,200,2,202,0.00628
PRJNA721101,Rhizobium leguminosarum,384,S,39,14322,14361,0.00624
PRJNA693337,Faecalibacillus intestinalis,1982626,S,13039,1905,14944,0.00618
PRJNA692666,Streptococcus thermophilus,1308,S,735,7343,8078,0.00616
PRJNA819236,Ralstonia solanacearum,305,S,81,21623,21704,0.00615
PRJNA629667,Pseudomonas aeruginosa,287,S,6711,46648,53359,0.00614
PRJNA894103,Anaerobutyricum hallii,39488,S,15867,202,16069,0.00614
PRJNA879945,Bacillus velezensis,492670,S,27,479,506,0.00611
PRJNA802336,Streptococcus dysgalactiae,1334,S,10295,132,10427,0.0061
PRJNA912096,Paracoccus suum,2259340,S,12994,274,13268,0.00602
PRJNA564695,Corynebacterium heidelbergense,2055947,S,7630,1822,9452,0.00598
PRJNA802336,Actinomyces israelii,1659,S,8394631,99061,8493692,0.00597
PRJNA912096,Staphylococcus epidermidis,1282,S,11967,4396,16363,0.00595
PRJNA629667,Paracoccus stylophorae,659350,S,37233,14926,52159,0.00594
PRJEB21503,Paenibacillus sp. JNUCC-31,2777983,S,75,8,83,0.00592
PRJNA912096,Solibaculum mannosilyticum,2780922,S,71,70,141,0.00581
PRJNA1077663,Ralstonia solanacearum,305,S,389,34974,35363,0.00579
PRJNA749068,Oscillatoria nigro-viridis,482564,S,9272,40349,49621,0.00578
PRJNA749068,Candidatus Atelocyanobacterium thalassa,713887,S,406,45834,46240,0.00577
PRJNA629667,Anaerococcus prevotii,33034,S,50680,199,50879,0.00576
PRJNA721101,Sphingomonas sp.,28214,S,342,8499,8841,0.00574
PRJEB21503,Corynebacterium propinquum,43769,S,849,39,888,0.00573
PRJDB10133,Delftia tsuruhatensis,180282,S,254,15326,15580,0.00569
PRJNA744578,Acinetobacter baumannii,470,S,3459,64623,68082,0.00569
PRJNA749068,Rickettsia amblyommatis,33989,S,45446,22,45468,0.00567
PRJNA818470,Aspergillus novofumigatus,340412,S,253186,8027,261213,0.00567
PRJNA879945,Corynebacterium resistens,258224,S,774,5719,6493,0.00565
PRJNA689968,Blautia massiliensis (ex Durand et al. 2017),1737424,S,734,14187,14921,0.00562
PRJNA744578,Staphylococcus aureus,1280,S,5972,60900,66872,0.00559
PRJNA912212,Streptococcus pneumoniae,1313,S,459,12066,12525,0.00558
PRJDB10068,Rothia mucilaginosa,43675,S,4184,165,4349,0.00558
PRJNA629667,Streptococcus agalactiae,1311,S,2983,43335,46318,0.00554
PRJNA692666,Corynebacterium kutscheri,35755,S,7772,24,7796,0.00554
PRJNA564695,Corynebacterium accolens,38284,S,93,6456,6549,0.00551
PRJNA720296,Staphylococcus aureus,1280,S,4547,24817,29364,0.00548
PRJDB10068,Chryseobacterium sp. LJ668,2864040,S,1043,3291,4334,0.00548
PRJNA910807,Bifidobacterium longum,216816,S,319,2337,2656,0.00548
PRJNA912212,Streptococcus agalactiae,1311,S,239,13812,14051,0.00543
PRJNA1077663,Vibrio metschnikovii,28172,S,24602,1056,25658,0.00541
PRJNA486134,Bradyrhizobium sp. SK17,2057741,S,76,74,150,0.0054
PRJNA819236,Duncaniella sp. B8,2576606,S,21490,569,22059,0.00539
PRJNA564695,Pelagovum pacificum,2588711,S,10081,356,10437,0.00538
PRJNA818470,Malassezia globosa,76773,S,43538,3,43541,0.00538
PRJNA721101,Sphingobium sp. TKS,1315974,S,45,12271,12316,0.00536
PRJNA1010661,Ralstonia pickettii,329,S,693,30,723,0.00535
PRJNA910807,Collinsella aerofaciens,74426,S,1393,122,1515,0.00535
PRJNA802336,Rothia dentocariosa,2047,S,1517896,67656,1585552,0.00535
PRJDB10068,Brevibacterium sp. CS2,2575923,S,92,4096,4188,0.0053
PRJNA894103,Dietzia sp. oral taxon 368,712270,S,8185,392,8577,0.0053
PRJNA381365,Kocuria varians,1272,S,49174,3984,53158,0.00527
PRJNA692666,Corynebacterium capitovis,131081,S,92,4408,4500,0.00524
PRJDB10133,Kocuria indica,1049583,S,66,11610,11676,0.00522
PRJDB10133,Caulobacter segnis,88688,S,5035,2648,7683,0.0052
PRJNA744578,Desulfovibrio piger,901,S,52124,12955,65079,0.0052
PRJNA721101,Corynebacterium urealyticum,43771,S,154,3461,3615,0.00513
PRJNA912212,Lactobacillus taiwanensis,508451,S,876,1492,2368,0.00511
PRJNA398289,Enterococcus faecium,1352,S,86211,11689,97900,0.0051
PRJDB10133,Methylobacterium organophilum,410,S,268,15798,16066,0.00508
PRJNA807746,Corynebacterium kutscheri,35755,S,2811,10018,12829,0.00507
PRJNA879945,Sellimonas intestinalis,1653434,S,13507,261,13768,0.00507
PRJNA695410,Solibaculum mannosilyticum,2780922,S,9919,1891,11810,0.00504
PRJNA910807,Acinetobacter schindleri,108981,S,377,7,384,0.00504
PRJNA910807,Corynebacterium yudongzhengii,2080740,S,219,815,1034,0.00502
PRJNA749068,Cutibacterium acnes,1747,S,43430,90,43520,0.005
PRJNA564695,Anoxybacillus caldiproteolyticus,247480,S,4901,369,5270,0.00499
PRJNA912096,Hydrogenophilus thermoluteolus,297,S,28,1,29,0.00496
PRJNA564695,Corynebacterium kutscheri,35755,S,7781,20,7801,0.00494
PRJNA398289,Moraxella osloensis,34062,S,4572566,52605,4625171,0.00494
PRJNA894103,Anaerostipes hadrus,649756,S,14302,306,14608,0.00492
PRJNA818470,Staphylococcus aureus,1280,S,29478,49076,78554,0.00488
PRJNA912212,Finegoldia magna,1260,S,5158,21,5179,0.00487
PRJNA879945,Staphylococcus simulans,1286,S,252,8,260,0.00485
PRJNA429692,Enterococcus faecium,1352,S,86211,11689,97900,0.00483
PRJNA819236,Bacteroides caecimuris,1796613,S,16565,3277,19842,0.00482
PRJNA610482,Staphylococcus equorum,246432,S,324574,697532,1022106,0.00482
PRJNA807746,Gardnerella swidsinskii,2792979,S,10422,123,10545,0.00482
PRJNA910807,Finegoldia magna,1260,S,3803,25,3828,0.0048
PRJNA912096,Blautia obeum,40520,S,20,8,28,0.00479
PRJNA720296,Humisphaera borealis,2807512,S,25211,0,25211,0.00478
PRJNA1048173,Corynebacterium yudongzhengii,2080740,S,174468,10184,184652,0.00475
PRJNA646315,Segatella copri,165179,S,6369,705,7074,0.00474
PRJNA721101,Mammaliicoccus vitulinus,71237,S,4217,850,5067,0.00474
PRJDB10133,Comamonas thiooxydans,363952,S,45,13620,13665,0.00473
PRJNA894103,Corynebacterium bovis,36808,S,11775,4438,16213,0.00471
PRJNA720296,Phocaeicola vulgatus,821,S,22402,3488,25890,0.0047
PRJNA486134,Burkholderia contaminans,488447,S,824,1840,2664,0.0047
PRJDB10068,Comamonas antarctica,2743470,S,23,3692,3715,0.0047
PRJNA486134,Bradyrhizobium sp. BTAi1,288000,S,95,35,130,0.00468
PRJNA429692,Moraxella osloensis,34062,S,5612097,70915,5683012,0.00468
PRJNA802336,Mycobacterium branderi,43348,S,3184,0,3184,0.00467
PRJNA912096,Cupriavidus pauculus,82633,S,5720,17,5737,0.00466
PRJDB10133,Delftia lacustris,558537,S,93,12194,12287,0.00466
PRJNA802336,Haemophilus parainfluenzae,729,S,11882085,637076,12519161,0.00465
PRJNA610482,Halomonas sp. HAL1,550984,S,53007,1129,54136,0.00465
PRJNA1044261,Pseudomonas sp. MPDS,2762896,S,597,1455,2052,0.00465
PRJNA1010661,Streptococcus thermophilus,1308,S,671,31,702,0.00465
PRJNA720296,Corynebacterium glutamicum,1718,S,60,22596,22656,0.00463
PRJNA721101,Rhizobium sp. CC-CFT758,2926709,S,51,10907,10958,0.00463
PRJNA819236,Bacteroides salyersiae,291644,S,18467,515,18982,0.00461
PRJNA912212,Shewanella sp. Pdp11,2059264,S,1510,4478,5988,0.0046
PRJNA912212,Oscillatoria nigro-viridis,482564,S,164,5689,5853,0.00459
PRJNA721101,Muribaculum intestinale,1796646,S,4386,150,4536,0.00458
PRJNA912096,Corynebacterium sp. SCR221107,3017361,S,31,3,34,0.00457
PRJNA894103,Dorea longicatena,88431,S,11176,130,11306,0.00452
PRJNA1077663,Synechococcus sp. JA-3-3Ab,321327,S,39,19958,19997,0.00451
PRJDB10068,Veillonella rogosae,423477,S,1628,1907,3535,0.00451
PRJNA749068,Muribaculum intestinale,1796646,S,32,4,36,0.00449
PRJNA912212,Bacillus thuringiensis,1428,S,8608,6682,15290,0.00448
PRJNA912096,Clostridium perfringens,1502,S,1292,161,1453,0.00446
PRJEB21503,Acinetobacter johnsonii,40214,S,196,210,406,0.00446
PRJNA807746,Phocaeicola vulgatus,821,S,12503,1973,14476,0.00446
PRJNA486134,Cutibacterium acnes,1747,S,5180,13214,18394,0.00445
PRJNA629667,Pseudomonas sp. S150,2559074,S,307,41446,41753,0.00444
PRJNA910807,Corynebacterium glucuronolyticum,39791,S,73,58,131,0.00443
PRJNA879945,Haemophilus parainfluenzae,729,S,360,2,362,0.00441
PRJNA629667,Sphingomonas sanxanigenens,397260,S,284,38513,38797,0.00441
PRJNA1048377,Staphylococcus saccharolyticus,33028,S,47103,300,47403,0.00439
PRJNA912212,Lactobacillus iners,147802,S,5873,60,5933,0.00438
PRJNA894103,Corynebacterium accolens,38284,S,73,14384,14457,0.00438
PRJDB10133,Pseudomonas sp. BYT-5,2944392,S,80,7744,7824,0.00437
PRJNA912212,Acinetobacter baumannii,470,S,2572,10391,12963,0.00434
PRJNA894103,Ruminococcus lactaris,46228,S,14904,106,15010,0.00433
PRJNA642342,Blautia massiliensis (ex Durand et al. 2017),1737424,S,704,8827,9531,0.00433
PRJDB10068,Acinetobacter radioresistens,40216,S,3357,56,3413,0.00431
PRJNA721101,Corynebacterium kutscheri,35755,S,324,6257,6581,0.00431
PRJDB10068,Lawsonella clevelandensis,1528099,S,3301,29,3330,0.00431
PRJNA692666,Phocaeicola vulgatus,821,S,8380,3157,11537,0.00428
PRJDB10133,Chloracidobacterium validum,2821543,S,5764,340,6104,0.00428
PRJNA749068,Ralstonia solanacearum,305,S,759,49936,50695,0.00427
PRJNA486134,Pedobacter cryoconitis,188932,S,32,28,60,0.00427
PRJEB21503,Janthinobacterium sp. PAMC25594,2861284,S,348,97,445,0.00424
PRJDB10133,Bradyrhizobium diazoefficiens,1355477,S,311,14020,14331,0.00424
PRJNA1010661,Sphingomonas paucimobilis,13689,S,451,111,562,0.00424
PRJNA1048377,Bacillus sp. ZHX3,2841656,S,774,3559,4333,0.00423
PRJNA692666,Segatella copri,165179,S,10963,77,11040,0.00423
PRJNA642342,Collinsella aerofaciens,74426,S,4269,461,4730,0.00422
PRJNA1044261,Paucibacter sp. S2-9,3019553,S,25645,297,25942,0.00422
PRJNA629667,Staphylococcus condimenti,70255,S,36751,697,37448,0.00419
PRJNA692666,Corynebacterium kroppenstedtii,161879,S,200,3942,4142,0.00419
PRJDB10068,Methylobacterium sp. 17Sr1-1,2202826,S,43,3252,3295,0.00418
PRJNA894103,Corynebacterium sp. ATCC 6931,1487956,S,101,18047,18148,0.00418
PRJNA912212,Haemophilus parainfluenzae,729,S,7787,988,8775,0.00418
PRJNA692666,Streptococcus agalactiae,1311,S,122,5771,5893,0.00417
PRJNA695410,Staphylococcus aureus,1280,S,1409,9008,10417,0.00417
PRJNA744578,Streptococcus pneumoniae,1313,S,1343,51150,52493,0.00416
PRJNA629667,Staphylococcus epidermidis,1282,S,36529,638,37167,0.00416
PRJNA879945,Veillonella atypica,39777,S,114,227,341,0.00415
PRJNA486134,Schizosaccharomyces pombe,4896,S,56,2,58,0.00413
PRJNA721101,Corynebacterium heidelbergense,2055947,S,6156,638,6794,0.00412
PRJEB21503,Paracoccus yeei,147645,S,26,5,31,0.00412
PRJNA692666,Faecalibaculum rodentium,1702221,S,10267,112,10379,0.00409
PRJDB15234,Bifidobacterium longum,216816,S,1504,1979,3483,0.00408
PRJNA1048377,Staphylococcus haemolyticus,1283,S,80757,3000,83757,0.00407
PRJNA802336,Fusobacterium pseudoperiodonticum,2663009,S,18,1,19,0.00406
PRJNA744578,Rhodococcus sp. ZPP,2749906,S,244,45431,45675,0.00406
PRJNA564695,Finegoldia magna,1260,S,5051,12,5063,0.00405
PRJNA910807,Tepidimonas taiwanensis,307486,S,136,4,140,0.00404
PRJDB10133,Sphingobium phenoxybenzoativorans,1592790,S,147,23966,24113,0.00403
PRJNA720296,Microcystis sp. MC19,1967666,S,42,21455,21497,0.00402
PRJEB21503,Paenibacillus pabuli,1472,S,79,6,85,0.00401
PRJDB10133,Pseudomonas sp. HN2,2884805,S,5988,12922,18910,0.00401
PRJDB10133,Lactobacillus delbrueckii,1584,S,9200,237,9437,0.004
PRJNA912212,Corynebacterium callunae,1721,S,3680,2330,6010,0.00398
PRJNA744578,Rickettsia amblyommatis,33989,S,47987,48,48035,0.00397
PRJNA802336,Streptococcus salivarius,1304,S,3685636,1046773,4732409,0.00397
PRJNA564695,Psychrobacter sp. WY6,2708350,S,3474,247,3721,0.00396
PRJNA693337,Ruminococcus lactaris,46228,S,10239,880,11119,0.00396
PRJNA847046,Neisseria gonorrhoeae,485,S,12565,1945,14510,0.00392
PRJNA629667,Cutibacterium acnes,1747,S,31598,335,31933,0.0039
PRJDB10068,Kocuria palustris,71999,S,1735,1309,3044,0.00389
PRJDB15234,Rhizobium gallicum,56730,S,80,3523,3603,0.00388
PRJNA744578,Rhizobium sp. CC-CFT758,2926709,S,235,49363,49598,0.00388
PRJNA745199,Penicillium rubens,1108849,S,4532,6,4538,0.00388
PRJNA749068,Stenotrophomonas maltophilia,40324,S,1726,14920,16646,0.00387
PRJNA807746,Haemophilus parainfluenzae,729,S,1085,9086,10171,0.00387
PRJNA486134,Salmonella enterica,28901,S,46,25107,25153,0.00386
PRJNA610482,Staphylococcus lloydii,2781774,S,1028099,29339,1057438,0.00383
PRJNA807746,Acetobacter aceti,435,S,10900,572,11472,0.00383
PRJNA879945,Brachybacterium faecium,43669,S,6928,468,7396,0.00383
PRJNA802336,Enterococcus faecalis,1351,S,5518547,3572415,9090962,0.00382
PRJNA912212,Bacillus sp. ZHX3,2841656,S,72,8106,8178,0.00381
PRJNA807746,Fusobacterium varium,856,S,5869,1317,7186,0.00381
PRJNA807746,Paracoccus stylophorae,659350,S,7422,1877,9299,0.0038
PRJNA744578,Duncaniella sp. B8,2576606,S,38921,1628,40549,0.00379
PRJDB10133,Microbacterium sp. KACC 23027,3028316,S,2836,16347,19183,0.00378
PRJNA629667,Deinococcus deserti,310783,S,30632,1873,32505,0.00378
PRJNA802336,Staphylococcus epidermidis,1282,S,13163,920,14083,0.00377
PRJNA692666,Solibaculum mannosilyticum,2780922,S,6296,896,7192,0.00376
PRJNA610482,Escherichia coli,562,S,27100,29050,56150,0.00375
PRJDB10133,Moraxella osloensis,34062,S,1849,14,1863,0.00375
PRJDB15234,Aeribacillus pallidus,33936,S,5294,1772,7066,0.00373
PRJNA912212,Ralstonia sp. RS642,2880988,S,132,12464,12596,0.00373
PRJNA802336,Enterococcus avium,33945,S,8227208,598176,8825384,0.00373
PRJDB15234,Prevotella corporis,28128,S,1420,2618,4038,0.00372
PRJNA629667,Peptoniphilus harei,54005,S,31931,281,32212,0.00372
PRJNA381365,Aspergillus flavus,5059,S,7811,12423,20234,0.00371
PRJNA721101,Corynebacterium jeikeium,38289,S,5365,358,5723,0.0037
PRJNA802336,Enterococcus gallinarum,1353,S,1859955,6796926,8656881,0.00367
PRJDB10068,Chryseobacterium camelliae,1265445,S,2310,532,2842,0.00363
PRJNA879945,Providencia stuartii,588,S,541,1913,2454,0.00361
PRJNA689968,Bifidobacterium animalis,28025,S,2255,4334,6589,0.0036
PRJNA1010661,Ralstonia insidiosa,190721,S,428,58,486,0.00359
PRJDB10068,Rhizobium gallicum,56730,S,20,2816,2836,0.00359
PRJNA807746,Acetobacter vaccinii,2592655,S,6400,7777,14177,0.00358
PRJNA381365,Aspergillus oryzae,5062,S,7665,11807,19472,0.00357
PRJDB10133,Achromobacter xylosoxidans,85698,S,383,13154,13537,0.00357
PRJDB10133,Fluviicola taffensis,191579,S,20796,209,21005,0.00356
PRJNA629667,Haemophilus influenzae,727,S,24946,9422,34368,0.00354
PRJDB10133,Chryseobacterium sp. LJ668,2864040,S,8578,614,9192,0.00354
PRJNA1010661,Novosphingobium sp. EMRT-2,2571749,S,406,170,576,0.00352
PRJNA749068,Ralstonia insidiosa,190721,S,44263,507,44770,0.00351
PRJNA847046,Megasphaera elsdenii,907,S,13711,82,13793,0.0035
PRJNA910807,Moraxella osloensis,34062,S,621,12,633,0.0035
PRJNA721101,Pseudomonas sp. HN2,2884805,S,1181,6544,7725,0.0035
PRJNA610482,Staphylococcus haemolyticus,1283,S,29707,6227,35934,0.00349
PRJNA910807,Blautia sp. SC05B48,2479767,S,106,143,249,0.00347
PRJNA692666,Corynebacterium heidelbergense,2055947,S,2999,1234,4233,0.00347
PRJNA689968,Collinsella aerofaciens,74426,S,4269,461,4730,0.00345
PRJNA695410,Corynebacterium sp. ATCC 6931,1487956,S,268,8373,8641,0.00345
PRJNA879945,Streptococcus pneumoniae,1313,S,33,2540,2573,0.00345
PRJNA721101,Corynebacterium glucuronolyticum,39791,S,1488,2585,4073,0.00342
PRJNA910807,Corynebacterium jeddahense,1414719,S,164,674,838,0.00341
PRJNA910807,Ruminococcus lactaris,46228,S,524,19,543,0.0034
PRJDB10133,Roseomonas sp. OT10,2897332,S,235,11489,11724,0.0034
PRJNA879945,Streptococcus intermedius,1338,S,19,2549,2568,0.00339
PRJNA692666,Chryseobacterium sp. 6424,2039166,S,1653,1961,3614,0.00339
PRJNA802336,Prevotella oris,28135,S,286995,15699,302694,0.00338
PRJNA720296,Mycoplasma sp. (ex Gorgonocephalus chilensis),3004105,S,16287,34,16321,0.00338
PRJNA749068,Acinetobacter sp. AOR07_HL,2919376,S,399,38849,39248,0.00338
PRJNA429692,Pseudomonas sp. FDAARGOS_380,2018067,S,5946520,1807659,7754179,0.00337
PRJEB21503,Candidatus Planktophila sulfonica,1884904,S,49,9,58,0.00337
